"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TNFRSF13B",-0.888733353569195,3.86135231201955,-4.62136135077407,4.87859113086255e-06,0.0186305209804866,3.78788252479236
"STAP1",-0.757655806582963,4.16868131838339,-4.62058316906842,4.89615895127444e-06,0.0186305209804866,3.78469398376194
"CD19",-1.04059070911247,5.25201002806302,-4.57390725110892,6.06857360927903e-06,0.0186305209804866,3.59433765080228
"LINC00494",-0.742325102696306,2.38068772907711,-4.44509491361751,1.08703806419612e-05,0.0187963384081825,3.07817137323912
"KIAA0125",-0.921569591635304,5.82141918310117,-4.44302757846101,1.09713013243743e-05,0.0187963384081825,3.06999738251587
"CBX7",-0.440393000927044,9.12895423990959,-4.41839115260696,1.22451716014218e-05,0.0187963384081825,2.97285639601946
"FGD3",-0.468708055233321,7.86160044602533,-4.37352756615011,1.49371200557936e-05,0.019652982244837,2.79723405745616
"CD79A",-0.85807019460214,8.51196673574191,-4.28054555965829,2.24269799841942e-05,0.0206997206401867,2.4385012463563
"TMEM130",-0.954817932232909,7.07510670660484,-4.2664779041734,2.38339977113063e-05,0.0206997206401867,2.38484597806525
"PATL2",-0.632075245417482,3.99104545770373,-4.22906640144567,2.79974403356693e-05,0.0206997206401867,2.24294899037927
"TNFRSF13C",-0.670674252864833,3.3958243893514,-4.22041864702895,2.90540800940488e-05,0.0206997206401867,2.21031352126526
"SEPT1",-0.541998240849001,7.47682591664995,-4.20226519475462,3.139719227272e-05,0.0206997206401867,2.14200580324924
"CD27",-0.64644904871503,7.78298110686468,-4.1908011471864,3.29685179386639e-05,0.0206997206401867,2.09900930203746
"ACSS1",-0.537224170043315,9.64990761029038,-4.18771876259685,3.34036219570833e-05,0.0206997206401867,2.08746720604717
"PBX4",-0.473680477505416,4.67274527527111,-4.18055956470724,3.44354103878092e-05,0.0206997206401867,2.06068968136041
"MEI1",-0.620614083315392,6.67750203169125,-4.16407169345066,3.69283550158556e-05,0.0206997206401867,1.99918156302464
"DHDH",-0.660108659194777,4.66021271422518,-4.1545606789424,3.84436113178348e-05,0.0206997206401867,1.96380309042532
"PNOC",-0.744771450791415,4.42859586481561,-4.12874748344831,4.28601197268478e-05,0.0206997206401867,1.86816286960405
"DNAH8",-0.512190385982723,1.84429165890684,-4.1275466372991,4.3076904659965e-05,0.0206997206401867,1.86372708569834
"TNFRSF17",-0.821935383993356,5.48466363178895,-4.11740120243352,4.49505334206009e-05,0.0206997206401867,1.82629884048741
"SNAI3",-0.421116353918749,5.258176465119,-4.09194310601075,4.99993741284269e-05,0.0219282969391815,1.73275614028546
"RAET1E",0.771103046830304,3.57649724998441,4.0628904216959,5.6419243528969e-05,0.0219363444059379,1.62666428219648
"DERL3",-0.606093955456997,9.19141361365454,-4.05824428626345,5.75159124423013e-05,0.0219363444059379,1.60976315449671
